"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"217" 27600144 0 1 0 5 0 1.3468 -1.272 -0.5229 0.052 -1.097 -0.7362 -0.7823 0.9378 0.545 -0.1357 0.6267 0.6976 -1.1481 1.0346 649.24 635.535 677.189
"220" 27600138 1 1 0 6 0 0.7546 0.2705 -0.2661 -0.4342 -0.4684 -0.0939 1.4721 -0.0873 -0.1094 0.0477 0.0418 0.8846 -0.2023 1.0346 564.244 505.424 531.274
"221" 27600028 0 1 0 2 1 -0.2704 -0.6346 -0.8279 0.8207 -0.8277 0.1554 0.2907 0.5178 -0.0024 -0.1357 0.8482 -1.0768 -0.3762 -1.0657 533.765 560.977 564.84
"223" 27600214 1 1 0 6 0 0.0127 0.7192 0.1956 -0.687 -0.0614 -0.0845 0.2907 1.2986 1.8366 1.1793 0.3734 1.5959 -0.5488 -1.5824 575.393 599.704 576.153
"224" 27600213 0 1 0 6 0 2.6131 -0.6346 0.6314 1.3423 1.6438 2.7249 -0.7823 2.1453 1.2928 1.1793 1.4775 1.8101 -0.3584 1.0346 586.792 599.892 564.6
"225" 27600122 1 1 0 4 0 -2.7114 -1.272 1.1811 -1.4869 -0.4292 -0.7911 0.7703 -0.1584 -0.8483 -0.1357 0.2776 0.0513 -1.8485 -1.8624 629.351 653.174 678.106
"226" 27600094 1 1 0 6 0 -2.7114 -0.6346 0.1956 -0.2006 -1.0494 -0.6913 1.2618 1.3469 1.0047 1.1793 0.8171 1.4604 -1.5576 1.0346 609.065 537.284 572.359
"231" 27600030 1 1 0 6 0 0.4842 -0.7816 0.7871 -0.4342 -0.4909 -0.4415 0.7703 0.5971 -0.2432 -0.1357 0.6804 0.8427 -0.5488 -1.8598 627.127 622.335 641.395
"236" 27600143 0 1 0 6 0 2.0787 -0.6346 -0.2047 -0.2006 -0.7918 -0.6035 0.7703 0.2973 1.8366 -0.1357 -0.7562 1.0229 -1.415 1.0346 638.744 629.021 670.457
"239" 27600050 1 1 2 2 0 -1.384 0.7192 0.4352 0.1097 -0.4531 0.3018 0.2907 -0.0112 -0.568 -1.2622 1.1484 -1.1835 -1.158 -0.6576 504.492 480.915 535.83
"241" 27600003 0 1 0 4 0 -0.9016 -1.272 -0.5707 -1.2792 -0.7997 0.3332 0.2907 0.1631 -0.2104 -0.6853 0.3175 -0.0311 -1.1481 1.0346 530.742 540.047 601.968
"244" 27600126 1 2 3 4 0 0.0127 0.2705 1.2643 -0.4342 -0.4684 0.1589 0.7703 -1.3941 0.0543 -1.3835 -1.4488 -1.556 0.7015 1.0346 456.617 419.833 472.59
"246" 27600042 0 2 0 5 0 -0.1542 0.2705 -0.9792 0.4637 0.3858 -0.1939 0.2907 1.0586 1.8366 1.1793 0.0671 0.1453 1.314 0.6364 574.718 579.752 604.696
"247" 27600206 0 1 0 2 0 0.7546 -0.7816 -0.5707 -0.687 -0.0328 0.0348 -0.7823 0.4692 0.0364 1.1793 0.4219 -0.7433 -0.3971 -0.6576 601.038 585.036 512.359
"248" 27600033 0 1 0 5 0 1.2316 -1.272 0.3709 -1.4869 1.217 2.7249 -0.7823 -0.0025 0.7962 1.1793 -0.4921 0.1438 1.314 1.0346 438.477 554.657 572.63
"249" 27600018 1 2 0 3 0 -1.1538 1.4885 -0.5707 -0.13 -1.4832 -0.9879 2.0604 0.5952 -0.0024 0.0477 1.1903 0.0289 -1.1481 -1.5824 465.13 355.451 355.221
"253" 27600047 1 1 0 2 0 -0.9016 0.2705 0.1956 -0.9823 -0.7906 0.3018 -0.7823 -0.4106 0.387 -1.3835 -0.138 -1.1191 0.1694 -1.0657 508.248 489.674 412.811
"258" 27600138 0 1 0 4 0 2.6131 -1.272 1.2643 0.4637 -0.5787 -0.2541 1.0457 1.3456 1.8366 -0.1357 0.7513 -0.2445 0.7015 1.0346 621.576 616.581 612.015
"259" 27600090 0 1 0 6 0 0.7546 -1.272 -2.345 -1.1597 -0.4909 0.6818 -0.7823 1.6598 1.8366 1.1793 0.616 1.4762 -1.7418 0.6402 541.341 528.497 520.659
"261" 27600010 0 3 2 2 1 1.0123 0.2705 -1.2263 1.8905 -1.9135 -1.0418 1.7669 -0.6443 0.7962 -0.9649 -1.156 -1.4571 1.314 -0.9167 439.791 441.576 427.94
"263" 27600170 1 2 3 2 0 -0.5753 -1.272 0.1956 -1.059 -0.0614 0.0348 -0.7823 -0.159 -0.5572 -0.1357 0.4217 -1.2601 0.4394 1.0346 449.508 342.544 379.773
"264" 27600096 0 1 0 6 0 0.4627 -1.272 1.2643 1.3423 1.5527 -1.5134 2.4122 1.0282 0.6471 -0.1357 0.8953 0.8929 -0.5575 -1.0691 601.049 556.613 584.547
"267" 27600011 0 1 0 6 0 0.1478 -1.272 0.6314 -0.9295 -1.0746 2.7249 -0.7823 -0.0835 0.533 1.1793 -0.8776 0.6515 1.314 1.0346 509.914 596.997 545.897
"275" 27600017 0 1 0 6 0 1.4205 0.2705 -0.5707 0.9109 -0.4957 -0.0939 -0.7823 0.5597 -0.4144 0.0477 0.8197 1.0486 -0.5973 -0.9167 690.178 580.195 655.018
"276" 27600177 1 1 2 6 0 -0.9016 -1.272 -0.2661 -0.2006 -0.8109 0.3441 -0.7823 0.6523 1.0047 -0.1357 0.0207 1.1975 -0.3971 -0.6576 510.91 560.305 550.731
"280" 27600007 1 1 0 6 0 1.0181 -1.272 -0.2661 -1.8939 -1.0881 0.2912 -0.7823 0.1504 0.8761 -0.5813 -0.7684 1.0423 1.314 -1.6735 667.378 648.566 655.282
"284" 27600011 1 1 0 4 0 -0.9016 -0.2888 -1.2708 0.052 -0.4684 2.7249 -0.7823 0.8406 0.194 1.1793 0.7306 0.4639 0.0703 1.0346 676.357 658.675 675.717
"285" 27600071 1 3 0 2 1 -0.5581 2.0692 0.1956 0.4637 -0.0614 -0.224 -0.7823 -0.8124 -1.8575 -0.1357 -0.4452 -1.8439 0.1597 -0.6576 344.471 376.559 362.396
"286" 27600058 1 1 0 5 1 -0.2222 -0.6346 0.1956 -0.687 -0.7292 -0.4509 1.4812 0.0104 1.8366 -1.2793 -0.2776 0.6298 -1.3684 1.0346 391.02 389.796 461.316
"291" 27600099 1 1 0 4 1 -1.1798 0.2705 0.1244 -1.8939 -0.8273 0.0682 -0.7823 -0.1256 0.387 -0.3337 -0.3326 -1.0724 -1.3245 -2.4468 488.875 495.264 530.449
"295" 27600041 0 2 3 6 0 1.5998 -1.272 1.1811 -1.059 0.3308 -0.9165 0.7703 0.5659 0.6471 -0.6122 0.4488 0.7807 0.7015 0.2169 636.895 636.404 621.592
"297" 27600063 1 1 0 6 1 -1.2014 0.2705 0.849 -1.4869 -1.2299 -0.763 1.1928 0.06 -0.568 1.1793 0.098 0.8152 -1.3345 -0.6576 500.957 469.275 448.97
"301" 27600220 0 1 0 5 0 -0.4556 1.2958 -0.6888 0.4637 -1.4832 -0.5878 -0.7823 0.663 0.533 1.1793 0.7168 0.3898 -1.3583 -1.0691 514.349 511.711 501.478
"302" 27600109 1 1 0 6 0 0.0127 -1.272 0.3709 0.1097 -0.8273 0.3018 0.7703 1.1125 1.8366 -0.6853 0.7542 1.2614 0.4394 -1.1817 617.101 622.623 635.942
"304" 27600029 0 1 0 4 0 0.1298 0.2705 1.1811 -0.687 -0.5176 0.6818 -0.7823 0.1804 0.387 1.1793 0.1242 0.0251 0.7628 1.0346 462.46 475.862 416.383
"305" 27600032 0 1 0 6 0 0.7546 -0.2888 -1.2708 -1.4242 -0.5176 -0.4869 1.1625 0.0402 1.8366 -0.4884 -1.2142 0.7585 -1.1481 1.0346 454.571 476.83 470.979
"306" 27600198 0 1 0 6 0 -0.6278 -1.272 0.3709 -0.7592 1.1497 0.4458 -0.7823 1.1223 1.8366 1.1793 0.1999 0.8075 0.039 1.0346 595.797 644.947 637.677
"310" 27600185 0 1 2 2 0 -0.4629 0.2705 0.0385 -1.8939 -0.0485 -0.4474 0.2308 -0.0345 -0.223 0.0477 0.0992 -0.5083 1.314 1.0346 264.784 362.33 311.868
"314" 27600011 0 1 0 6 0 1.0781 -1.272 -1.7664 -1.4242 2.3693 0.8801 -0.7823 3.1014 1.8366 1.1793 1.9843 2.3538 1.314 1.0346 569.425 590.963 611.693
"319" 27600148 1 1 0 5 0 -0.5437 0.2705 -0.9792 -0.687 -1.0491 -0.4415 0.2907 1.9501 1.8366 1.1793 1.2588 0.4121 -2.1007 0.6364 585.727 481.348 530.744
"323" 27600091 1 1 0 6 1 -2.7114 -0.4021 0.2653 -1.8939 0.523 0.6818 -0.7823 2.1412 1.8366 0.0477 2.1591 1.7469 -0.9306 -1.0691 457.942 410.632 460.427
"324" 27600203 1 1 0 4 0 -1.3214 -1.272 -2.345 -1.8939 -0.3601 0.4829 0.2907 -1.1937 -0.8483 -1.195 -0.8196 -1.1907 1.314 1.0346 493.321 455.093 433.773
"327" 27600059 0 1 0 3 0 0.3568 -0.2888 0.1956 0.4637 -0.0614 0.3018 -0.7823 1.3469 1.0047 1.1793 0.8171 0.3661 -0.2023 1.0346 581.674 510.29 590.902
"328" 27600102 1 1 0 4 0 2.6131 -1.272 -1.0881 -0.1748 2.3693 0.3281 -0.7823 2.2018 1.8366 1.1793 1.1596 1.04 -2.1621 1.0346 658.117 617.733 582.648
"329" 27600074 1 1 0 6 0 0.4607 -1.272 -0.2661 -0.687 0.0501 0.6818 -0.7823 1.0209 1.2928 0.0477 0.4751 1.4734 -0.7074 -0.67 569.069 655.806 678.634
"333" 27600181 0 1 0 6 0 0.0127 -0.5536 0.3709 -0.2006 0.8236 0.2949 -0.7823 -0.5235 -0.8483 -0.1357 -0.3181 0.2785 0.039 -0.6576 535.146 514.873 473.641
"339" 27600058 0 1 0 6 0 -0.9223 -1.272 -2.345 -1.8939 1.1546 0.3349 3.8591 1.7244 0.6471 -0.1357 1.7018 1.1679 -2.7106 1.0346 460.754 499.019 572.519
"340" 27600136 0 1 0 6 0 0.0127 -1.272 -1.2263 -0.687 0.7728 1.4326 -0.7823 0.9466 0.8761 -0.6853 0.7014 0.7913 0.7628 -0.6576 587.642 630.457 619.145
"342" 27600207 0 2 0 5 0 -1.9715 -0.2888 -0.8279 -1.8939 -1.333 0.3692 -0.7823 -0.5657 -0.7953 0.0477 -0.2893 0.3907 -1.5103 -1.292 371.424 438.709 437.592
"343" 27600040 1 1 0 4 0 -1.352 -1.272 0.7871 -0.7592 0.021 2.7249 -0.7823 0.1245 -1.3021 -0.6853 0.7257 0.0035 -0.3584 0.6402 617.866 658.066 641.348
"344" 27600120 0 3 2 4 0 2.6131 0.8232 0.1956 0.052 -0.5176 -0.6693 -0.7823 -1.2638 -0.5844 0.2646 -1.5306 -1.3303 1.314 0.2169 511.578 512.438 527.677
