"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"207" 5600080 0 2 2 4 0 0.9011 -0.5536 0.1956 -0.687 -0.0614 0.0348 -0.7823 0.2153 0.4713 1.1793 -0.1717 -0.5796 -1.2443 -1.5824 465.985 620.099 544.655
"209" 5600281 0 1 0 5 0 1.5998 0.7192 -0.9792 -0.2006 -0.8109 -0.445 0.1462 0.3365 -1.8696 1.1793 0.4255 0.3275 -1.2781 -1.0691 475.593 568.463 519.627
"210" 5600010 1 1 0 4 1 0.1851 -1.272 -0.2661 -0.0845 -1.2232 -0.3202 -0.7823 0.6812 -0.4961 -0.1295 2.2909 -0.6416 -1.7418 0.2169 384.072 293.549 322.101
"211" 5600258 1 1 0 6 0 -1.9715 1.0453 -0.2661 -1.1597 -1.2862 0.0869 -0.7823 1.8267 1.3903 1.1793 1.6154 1.7517 -1.3684 -0.6576 677.129 597.427 614.434
"213" 5600059 0 1 0 4 1 -1.7421 -1.272 -2.345 1.8905 0.7139 2.7249 -0.7823 -0.9611 -0.7708 -0.4396 -0.7616 -1.3846 0.4522 1.0346 475.745 518.463 564.041
"215" 5600077 0 3 3 1 0 1.2586 2.0692 -0.2661 0.4637 -0.0614 -0.5058 -0.7823 -0.315 -0.0809 1.1793 -0.5503 -1.9177 1.314 1.0346 427.914 395.44 354.489
"222" 5600281 1 1 2 5 0 0.5915 0.7192 -0.1401 -0.1748 -0.4801 -1.2978 0.2308 3.2816 1.8415 1.1793 4.2678 1.957 -0.7659 -2.4468 474.693 512.548 519.705
"223" 5600144 1 3 0 5 0 -0.5141 -1.272 1.1811 1.8905 -0.7997 -0.6869 0.1462 -0.4801 -0.4961 -0.8243 0.1312 -0.419 -0.2023 -2.4468 360.258 295.925 451.762
"226" 5600043 0 1 0 6 0 0.0127 -0.2888 -0.2047 -0.687 0.3139 0.9517 0.2907 0.0105 -0.2704 1.1793 -0.2181 -0.1683 0.039 0.6402 619.116 617.172 638.707
"227" 5600076 1 1 0 6 0 -1.0512 0.7192 -0.2661 -0.687 -0.5176 0.3241 -0.7823 0.6424 1.1392 1.1793 -0.0967 0.8241 -0.3882 0.6364 565.09 440.505 376.707
"229" 5600011 0 1 0 6 0 0.0127 0.2705 -0.5707 0.4637 -0.5176 -0.3184 -0.7823 -0.0903 -1.2782 1.1793 0.0834 0.1387 -0.1512 -0.6576 627.173 636.978 631.85
"230" 5600178 1 1 1 5 0 -0.5621 0.2705 -0.0326 -1.8939 0.8092 -0.0845 -0.7823 0.2617 -0.2704 1.1793 0.3789 0.3082 0.4522 0.3622 614.453 629.908 625.336
"231" 5600018 0 1 0 4 0 1.5482 -0.5536 -0.5707 -0.9295 -0.4957 0.6818 -0.7823 0.5108 -0.3816 0.1806 1.0786 0.046 -0.3584 1.0346 526.874 623.037 563.676
"232" 5600018 1 1 0 6 0 1.7513 0.2705 -1.2708 -0.687 -1.0974 0.6738 -0.7823 0.0266 -0.7708 0.0477 0.2497 0.135 -1.3119 1.0346 569.166 534.416 542.856
"234" 5600123 1 1 0 6 0 0.0127 -1.272 2.0054 -0.687 1.1262 0.0348 -0.7823 0.3972 0.9533 1.1793 -0.4677 1.0637 -2.7106 1.0346 633.772 602.447 607.25
"235" 5600059 0 1 1 6 1 -1.1538 1.6524 -0.2661 -0.687 -0.0614 2.7249 -0.7823 0.1848 -1.2782 -0.3487 0.9381 0.1734 -0.7366 1.0346 528.904 522.287 426.013
"236" 5600247 1 1 0 6 0 -0.7637 -1.272 0.1956 -1.8939 -0.0614 1.4685 0.2907 1.1584 0.311 1.1793 1.7144 1.1071 -1.0051 1.0346 656.25 630.136 592.412
"237" 5600068 1 1 1 6 0 -2.7114 0.2705 -0.5707 -0.687 -0.8109 -0.0939 -0.7823 0.4031 0.171 1.1793 0.1476 0.9444 -0.9422 -0.6576 586.869 477.55 596.39
"238" 5600254 1 1 0 6 0 -1.352 0.2705 -0.5707 -0.4342 -0.0614 0.2195 0.7703 1.4439 1.3903 1.1793 0.803 1.3026 -0.2023 -0.6576 539.263 582.892 638.581
