"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"50" 38000051 "Bolzano" "town" 0 100 NA NA NA "strongly disagree" "strongly disagree" "strongly disagree" "never" "sometimes" "mandatory" "mandatory" 1 1 0 1 312 189 36 104 70 60 10 5 40 20 67 14 52 9 3 0 46 9 NA NA "16-20 students" 12 1 NA 1 1
"51" 38000052 "Italy" "town" 0 50 20 10 20 "agree" "agree" "agree" "sometimes" "always" "mandatory" "mandatory" 0 1 1 1 547 249 4 168 100 100 5 15 7 100 143 3 129 0 129 0 60 0 8 0 "16-20 students" 2 1 1 1 0
"52" 38000053 "Italy" "large city" 0 75 5 0 20 "disagree" "agree" "disagree" "always" "always" "school initiative" "mandatory" 0 1 1 1 NA NA 50 NA 35 35 15 20 1 35 NA NA NA NA NA NA NA NA NA NA "21-25 students" 5 1 0 0 0
"53" 38000054 "Italy" "small town" 0 75 0 0 25 "disagree" "agree" "agree" "always" "sometimes" "school initiative" "mandatory" 1 1 1 1 50 60 NA 13 5 5 3 1 1 7 30 NA 19 NA 0 NA 24 NA 0 NA "16-20 students" NA 1 1 0 1
"54" 38000055 "Toscana" "city" 0 30 60 0 10 "agree" "agree" "strongly disagree" "always" "never" "mandatory" "mandatory" 1 0 1 1 570 1000 5 290 24 24 0 68 68 120 150 20 140 20 140 20 140 20 30 0 "21-25 students" NA 1 0 0 0
"55" 38000056 "Toscana" "small town" 0 30 40 10 20 "disagree" "agree" "disagree" "always" "always" "mandatory" "no" 1 1 1 1 441 163 1 276 55 55 45 4 7 5 101 17 100 NA 0 0 101 17 4 0 "21-25 students" 1 1 1 1 1
"56" 38000057 "Bolzano" "city" 1 65 35 NA NA "strongly agree" "agree" "agree" "always" "sometimes" "mandatory" "no" 1 1 1 1 NA NA 3 NA 19 19 19 9 9 10 NA NA NA NA NA NA NA NA NA NA "16-20 students" 4 0 1 0 1
"57" 38000058 "Toscana" "town" 0 89 1 0 10 "agree" "disagree" "agree" "always" "sometimes" "mandatory" "mandatory" 0 1 0 1 298 290 35 150 110 110 20 3 7 48 168 5 53 NA 0 NA 53 NA 1 NA "16-20 students" 2 1 0 0 0
"58" 38000059 "Italy" "town" 0 54 21 0 25 "strongly agree" "disagree" "agree" "never" "never" "no" "no" 0 1 1 1 599 415 0 211 160 160 30 13 8 200 174 14 140 4 31 6 153 8 0 0 "16-20 students" 1 1 0 1 0
"59" 38000060 "Italy" "town" 0 35 50 0 15 "agree" "disagree" "agree" "never" "always" "mandatory" "no" 0 0 1 0 852 113 20 201 83 83 15 2 22 61 128 6 127 5 2 0 126 6 8 2 "21-25 students" 5 0 0 0 0
"60" 38000061 "Italy" "town" 1 NA NA NA NA "agree" "agree" "strongly disagree" "never" "always" "mandatory" "school initiative" 1 1 1 1 370 276 NA 39 39 39 0 3 10 19 26 15 NA 13 0 0 26 15 1 0 "16-20 students" NA 0 1 1 1
"61" 38000062 "Bolzano" "town" 1 80 15 0 5 "strongly agree" "disagree" "disagree" "sometimes" "sometimes" "mandatory" "mandatory" 1 1 1 1 49 42 4 24 25 25 1 0 11 20 6 9 5 4 1 1 5 4 0 4 "21-25 students" NA 0 NA NA NA
"62" 38000063 "Sardegna" "town" 0 77 0 6 17 "agree" "agree" "agree" "always" "always" "mandatory" "mandatory" 1 1 1 1 363 428 3 171 119 119 103 35 5 8 62 12 57 7 0 0 62 12 0 0 "21-25 students" 1 1 1 1 1
"63" 38000064 "Toscana" "town" 0 60 30 0 10 "agree" "agree" "disagree" "never" "sometimes" "mandatory" "mandatory" 1 1 1 1 580 530 5 216 70 70 10 16 20 60 80 10 80 10 0 0 80 10 5 0 "21-25 students" 3 1 1 1 0
"64" 38000065 "Italy" "city" 0 35 60 NA 5 "strongly agree" "agree" "agree" "sometimes" "always" "mandatory" "no" 1 0 1 1 750 600 10 350 150 150 30 30 40 130 110 16 110 16 NA NA 110 16 8 NA "26-30 students" NA 1 1 1 0
"65" 38000066 "Toscana" "town" 0 52 13 32 3 "agree" "disagree" "disagree" "always" "sometimes" "mandatory" "school initiative" 1 0 0 1 1300 350 3 337 110 110 10 85 10 150 232 20 192 20 205 17 205 17 4 1 "21-25 students" 1 1 0 0 1
