"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75600010;1;2;3;0;-0.7592;0.6924;-0.7823;0.6959;0.5521;0.7604;0.5595;-0.268;0.039;0.5029;135;135;135;418.287;305.68;326.6;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;1;0;5;0;0.4637;0.4766;0.1462;-0.8275;0.1738;-1.3525;-0.7256;-0.772;0.7015;-1.1847;225;180;90;513.038;438.305;419.736;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;1;2;2;0;0.4637;-0.3246;0.2907;-0.1295;0.2864;0.1806;-0.2683;-1.2065;-2.1007;-1.3939;270;180;135;596.647;512.216;454.041;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;1;0;6;0;1.8905;2.7249;0.7841;1.1044;0.9244;0.1806;0.3968;1.4097;0.4394;1.0346;180;180;135;506.26;462.857;487.466;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;1;3;1;0;1.8905;0.655;0.1462;-0.1956;-0.6541;-0.1357;0.5907;-1.8672;0.2048;-0.6576;180;180;135;463.286;429.474;477.214;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;0;2;1;0;-0.9598;-0.6378;1.203;0.3232;0.6561;-0.9386;-0.1827;-1.537;0.4394;-1.3964;225;225;135;371.063;281.318;307.747;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;0;0;5;0;-1.2792;0.9517;-0.7823;0.7053;0.6403;1.1793;1.2156;0.4961;-0.8489;-0.6576;160;120;160;361.701;395.787;369.18;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600010;1;2;5;0;0.4637;0.9423;-0.7823;-0.014;0.4081;0.0477;0.3344;0.4947;0.2148;0.5029;90;180;90;427.202;478.078;418.092;18;11.3115;1.0245;-0.1776;-0.0956;0.6015;0.3009
75600012;1;2;6;0;-0.0288;-0.8444;1.1625;-0.4954;0.2671;-0.011;-0.6956;-0.377;-0.6262;-0.6576;275;220;165;408.438;304.969;381.033;23;12.4416;-1.4212;0.1964;-0.8602;-1.2225;0.287
75600012;1;2;2;0;-0.4342;0.6818;0.2907;-0.7347;-0.6541;-0.9191;-0.1206;-1.5138;-0.6262;-0.6576;200;200;100;492.104;449.809;502.997;23;12.4416;-1.4212;0.1964;-0.8602;-1.2225;0.287
75600012;0;2;3;0;-1.2319;0.0914;-0.7823;-0.3985;-0.6541;-0.3487;0.1176;-0.9159;-0.9514;-0.6576;180;180;90;536.604;446.149;530.703;23;12.4416;-1.4212;0.1964;-0.8602;-1.2225;0.287
75600012;0;3;5;0;-0.13;-1.0523;0.2907;0.3594;0.1299;1.1793;0.1624;0.3094;0.2048;-1.3914;360;180;90;498.361;518.268;529.981;23;12.4416;-1.4212;0.1964;-0.8602;-1.2225;0.287
75600012;1;2;5;0;-0.4342;0.3018;0.2907;-0.3116;-0.474;0.2646;-0.2255;-0.5134;-0.5973;-0.6576;270;180;180;367.42;348.495;312.867;23;12.4416;-1.4212;0.1964;-0.8602;-1.2225;0.287
75600013;0;2;6;1;-0.13;-0.8186;1.1625;-1.3466;-1.2623;-0.6853;-1.394;-0.7414;1.314;-0.6576;180;225;135;309.518;293.76;335.865;18;11.6226;1.2478;0.8371;-0.7453;-0.1274;-0.1764
75600014;0;3;4;0;-0.4342;0.9683;0.2907;-0.9674;-0.5894;-1.956;0.1775;-1.2222;-0.1605;1.0346;270;270;135;383.833;426.074;387.177;18;12.8889;-0.2723;0.3399;0.5641;-0.1695;-0.061
75600014;1;2;5;0;-1.4869;0.0348;0.2907;-1.0605;-1.8598;-0.9779;-0.3289;-0.9388;-2.1007;-0.6576;270;180;135;438.655;427.346;413.211;18;12.8889;-0.2723;0.3399;0.5641;-0.1695;-0.061
75600014;1;2;3;0;-0.687;-0.672;0.7703;-0.2523;-0.1611;1.1793;-0.3229;0.0258;-0.2023;-1.8624;225;180;180;556.883;393.043;443.227;18;12.8889;-0.2723;0.3399;0.5641;-0.1695;-0.061
75600015;1;2;5;0;-0.6133;-0.3531;-0.7823;-0.3596;-0.1725;-0.6853;0.0281;0.0636;-0.1206;1.0346;180;150;30;530.404;583.297;576.704;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;1;2;5;0;-0.0845;3.22;0.2308;-0.8946;-1.8107;-1.0118;-0.1099;-0.6813;0.2148;0.2169;270;270;270;435.024;437.262;480.186;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;0;2;6;0;-1.8939;3.22;-0.7823;0.8313;0.4503;1.1793;0.6579;0.8021;1.314;1.0346;225;270;135;448.952;416.334;364.699;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;0;2;1;0;-0.13;0.4455;-0.7823;-0.2581;-0.208;0.0477;-0.2058;-1.5355;-0.0348;1.0346;225;225;135;486.062;513.943;498.979;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;1;2;5;0;-1.059;-0.9218;0.8615;-0.4944;-1.1969;-0.6853;-0.0398;-0.2421;0.039;1.0346;0;0;0;604.719;562.833;573.062;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;1;2;6;0;0.1097;-0.357;-0.7823;-0.3753;-1.1969;0.0477;0.0191;0.6318;-0.4707;1.0346;270;270;135;589.704;461.656;419.362;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;0;2;4;0;-0.9295;0.0917;0.2907;-0.3062;-0.4999;1.1793;-0.492;-0.9594;-0.3082;-1.1847;270;270;90;704.187;680.874;635.982;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600015;0;2;5;0;0.5949;-0.3955;0.2907;-0.187;-0.3474;1.1793;-0.4997;0.0301;-1.8358;-0.6576;225;225;135;441.271;396.51;357.182;18;40.75;-0.4526;-0.5869;-0.2686;0.6101;-1.0542
75600016;1;2;2;0;0.1097;0.6818;0.2907;-0.2707;-1.8598;-0.6122;0.55;-0.9136;0.4394;-0.9167;135;135;90;460.636;453.856;524.446;23;11.7465;0.9905;-0.0719;-0.7912;-0.9138;0.9042
75600017;1;3;2;1;-0.0845;0.4753;-0.7823;0.1378;0.0118;0.0477;0.0096;-1.201;0.7628;-0.6576;270;270;135;458.571;441.88;467.318;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;0;2;5;0;-0.687;1.6632;-0.7823;0.5631;-0.0613;1.1793;1.2022;-0.1737;1.314;-0.6576;270;270;135;470.091;475.76;428.159;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;0;2;2;1;0.1097;0.6347;0.2907;-0.4146;-0.3763;-0.6853;-0.0127;-1.3271;0.2384;1.0346;270;270;135;489.133;449.502;495.877;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;1;2;5;0;0.0208;3.22;-0.7823;-0.4908;-1.1969;-0.1357;-0.4091;-1.7793;1.314;1.0346;360;360;135;595.33;469.449;466.328;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;1;2;6;0;-0.0845;0.5404;-0.7823;-0.1941;-0.607;-0.1357;0.133;0.4423;-0.0771;1.0346;270;270;135;607.248;571.401;638.89;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
75600017;0;2;5;0;-1.4242;0.5404;-0.7823;1.0143;0.8184;1.1793;0.4526;0.0759;-1.371;0.6402;270;270;135;527.053;571.986;575.767;18;13.2179;-0.6884;-0.614;-0.0956;-0.4289;0.9042
