"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
5600203;1;0;4;0;-0.3799;-0.445;1.5082;-0.906;-1.2782;-0.4903;-0.5858;-1.0739;-0.5488;-0.6576;0;225;180;135;614.134;649.291;580.321;23;11.2028;-1.4212;-1.4551;0.7671;0.6295
5600203;1;0;6;0;0.4637;-0.3184;-0.7823;0.2473;1.8415;-0.1357;-1.1002;0.5045;-0.9422;-0.6576;0;220;220;165;636.219;690.142;650.063;23;11.2028;-1.4212;-1.4551;0.7671;0.6295
5600203;1;2;6;1;-1.0109;0.9517;-0.7823;-0.2776;-1.8696;1.1793;-0.1596;-0.2717;-0.8905;0.5029;1;275;220;165;561.654;506.581;579.658;23;11.2028;-1.4212;-1.4551;0.7671;0.6295
5600214;0;0;5;0;1.8905;-0.9165;-0.7823;0.8403;0.7386;0.031;0.839;0.1097;-0.1512;1.0346;1;200;200;150;478.259;417.943;444.034;13;6.7253;0.6143;0.5854;1.3327;0.6703
5600219;0;2;4;1;0.052;0.6818;-0.7823;-1.1215;-1.8696;-0.4903;-0.7552;-1.4524;0.7628;1.0346;0;200;200;150;598.893;655.429;567.508;18;11.0085;0.8006;0.43;0.1449;0.1104
5600219;0;0;6;1;1.4083;-0.466;1.7926;-1.1001;-1.2782;-1.3835;-0.3171;-0.6383;-2.7106;-1.3939;2;200;200;0;495.128;542.245;491.899;18;11.0085;0.8006;0.43;0.1449;0.1104
5600219;1;2;6;0;-0.3288;-0.4415;-0.7823;0.8422;1.8415;0.0477;0.0649;1.2495;-1.1846;1.0346;1;200;200;150;527.958;625.658;568.416;18;11.0085;0.8006;0.43;0.1449;0.1104
5600224;0;2;4;0;0.4637;-0.4509;-0.7823;-0.0154;-0.229;0.0477;-0.1717;-0.8361;-1.3245;1.0346;1;250;200;350;519.417;605.678;548.424;23;13.7333;-0.9432;-0.5869;-0.6163;-1.5842
5600226;1;2;6;1;-1.2792;0.4951;0.8615;-1.1565;-0.4882;-1.25;-0.6702;-0.4647;-1.1481;1.0346;1;180;225;360;376.839;385.721;420.401;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;6;0;0.5949;-0.1562;-0.7823;-0.4676;-1.8696;0.0477;-0.0589;-0.4342;-0.8905;0.2127;2;200;250;150;525.507;463.721;480.683;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;4;0;1.8905;-1.2605;-0.7823;0.5515;0.0181;1.1793;0.5837;-0.7326;-0.2023;1.0346;0;275;275;330;487.692;470.051;418.37;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;6;1;0.2734;0.3734;-0.7823;-0.8141;-0.4463;-1.0527;-0.1746;0.3158;-1.555;-0.6576;2;275;275;0;369.486;400.849;373.317;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;4;1;-0.9823;0.6818;-0.7823;0.6801;-0.893;-0.6853;2.6216;-0.5974;-0.8998;-1.1847;1;250;250;50;437.418;316.256;384.088;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;5;0;-0.2459;-0.8575;-0.7823;0.0394;0.0181;1.1793;-0.1305;-0.2292;0.6259;0.2127;1;200;250;350;473.524;453.936;459.111;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;4;1;-0.3799;-0.8668;0.2308;-0.0734;-0.7708;0.0477;0.6447;0.1983;0.4394;-0.6576;2;200;250;50;416.675;374.397;390.838;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;4;1;-1.8939;0.9782;-0.7823;0.34;-0.2638;0.0477;0.6576;0.2584;-0.3971;0.2127;2;600;480;360;430.971;337.804;372.535;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;6;0;-1.1597;0.319;0.8615;-0.52;-0.7708;-0.1357;-0.2129;0.4402;-0.3971;1.0346;0;250;250;250;470.091;494.259;524.468;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;1;1;-0.4342;0.6818;-0.7823;0.2552;-0.2704;1.1793;0.5807;-1.1615;-0.1719;0.3622;1;200;300;50;409.022;355.253;375.981;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;0;6;1;-1.8939;-0.0693;0.2907;0.4956;0.4984;1.1793;0.3264;0.87;-1.1176;1.0346;2;250;300;150;362.104;448.612;362.637;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;6;1;-0.0845;-0.7321;0.2907;-1.0143;-0.1552;-1.0752;-0.9082;0.1608;-0.6262;0.6364;2;200;300;0;416.643;479.402;426.224;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;2;4;1;0.4637;-0.4415;1.203;-0.3954;0.0232;0.1806;-1.1002;-0.368;-2.0248;-1.1847;2;200;250;150;478.546;351.969;394.274;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;0;2;3;0;1.8905;-0.8824;1.1928;-0.7082;0.1453;0.0477;-1.4545;-1.1741;-0.9734;0.6364;2;200;250;150;489.759;436.945;447.681;18;6.6803;0.7566;1.5435;2.4211;1.1096
5600226;1;3;4;0;-0.3799;-0.4415;-0.7823;-1.2148;-1.2782;-1.8925;-0.3965;-1.4801;-0.5575;-0.6576;2;250;250;300;594.111;490.306;469.365;18;6.6803;0.7566;1.5435;2.4211;1.1096
