"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
4000147;0;2;3;1;-5e-04;-0.5002;0.7841;-1.1225;0.3676;-0.9649;-1.0824;-1.2707;0.7628;-0.67;440;440;330;383.758;335.585;347.576;23;0.4997;-0.7658;1.1568;-0.8267
4000147;0;0;6;0;-0.9823;0.7289;-0.7823;-0.7057;0.1121;0.0477;-1.0455;0.6036;1.314;0.3586;220;220;220;361.36;404.545;313.262;23;0.4997;-0.7658;1.1568;-0.8267
4000148;1;0;6;0;-1.109;-0.0649;-0.7823;0.0708;0.8029;0.0268;-0.2952;-0.2064;0.4522;1.0346;100;200;350;520.144;482.601;532.473;28;1.2478;1.1642;1.0091;0.3085
4000148;1;3;4;0;-0.687;-0.3184;-0.7823;-0.7178;-0.7148;-0.6853;-0.1835;-0.8005;-0.9852;-1.4861;110;110;275;509.636;605.129;560.006;28;1.2478;1.1642;1.0091;0.3085
4000150;1;3;6;0;-1.4242;0.0564;-0.7823;-0.022;-1.8538;-1.2622;1.2986;-0.2487;-2.7106;-0.0017;200;100;50;446.089;373.343;363.811;18;-1.4212;-1.8617;-1.3196;-2.0409
4000152;1;2;6;1;-0.13;-0.672;0.1462;-0.2811;-1.8538;1.1793;0.2022;0.5956;-1.1965;-0.6576;180;180;90;494.578;397.709;331.764;13;1.9184;0.3531;0.4282;-2.0409
4000153;1;2;3;0;-0.9598;0.2159;-0.7823;-0.4848;0.3647;0.031;-0.9259;-1.0729;-1.4974;0.0181;150;150;100;578.287;533.799;525.481;18;-0.2692;-0.3872;0.0921;0.5642
4000153;1;0;6;0;-0.2006;-0.6913;-0.7823;0.138;-0.3076;-0.1357;0.4202;-0.0476;0.3485;-0.6576;150;100;100;494.359;459.399;529.705;18;-0.2692;-0.3872;0.0921;0.5642
4000153;1;3;6;1;-1.4869;0.6738;-0.7823;-0.8548;-0.5158;-0.1357;-0.6668;-0.516;-0.3082;1.0346;150;150;150;461.285;483.734;503.163;18;-0.2692;-0.3872;0.0921;0.5642
4000153;1;0;3;0;1.8905;0.0441;1.2618;-0.9272;-1.2648;0.0477;-0.8038;-0.7188;0.2148;1.0346;150;100;100;583.175;478.359;534.388;18;-0.2692;-0.3872;0.0921;0.5642
4000155;1;0;3;1;-0.687;0.3018;-0.7823;-0.3683;-0.3076;-0.6853;-0.1835;-0.2571;-0.9734;-0.6576;165;165;110;575.516;517.93;567.751;28;-1.4212;-1.0918;-0.4097;0.5276
4000155;1;3;4;0;-1.1597;1.4326;-0.7823;-0.6575;-0.5158;-0.5813;-0.5129;-0.976;0.6259;1.0346;150;150;200;522.086;487.353;514.503;28;-1.4212;-1.0918;-0.4097;0.5276
4000155;0;2;4;1;-0.3498;0.6818;0.2907;-0.496;0.3808;-0.1357;-0.71;-0.9923;-1.1481;1.0346;150;150;200;568.399;588.239;567.266;28;-1.4212;-1.0918;-0.4097;0.5276
4000155;1;2;6;0;-0.0288;0.3018;1.2618;-0.4084;-0.3076;-0.1357;-0.667;0.7294;-0.2327;0.6364;150;150;250;583.14;583.916;658.312;28;-1.4212;-1.0918;-0.4097;0.5276
4000156;1;3;6;0;0.1097;-0.3184;0.8615;-0.6083;-0.2006;0.031;-0.6702;-0.3017;0.2485;-0.6576;150;150;150;411.839;409.302;478.626;23;-0.4447;-1.0918;0.1795;-0.8267
4000156;0;2;2;0;1.4083;0.5251;-0.7823;-0.3617;0.0185;-0.5012;-0.0927;-1.3375;-0.3584;0.6364;165;165;110;349.158;472.179;409.148;23;-0.4447;-1.0918;0.1795;-0.8267
4000156;1;3;5;0;-0.9295;0.8801;0.2907;-0.4739;-0.3076;-0.6122;-0.4318;0.2878;-0.9422;-1.8598;150;150;350;544.75;559.538;540.244;23;-0.4447;-1.0918;0.1795;-0.8267
4000156;0;2;6;0;0.052;0.6818;-0.7823;-0.5836;0.5522;-0.1357;-1.2323;0.5734;-1.8358;-0.6576;150;150;300;521.419;455.677;526.742;23;-0.4447;-1.0918;0.1795;-0.8267
4000157;1;2;6;1;-0.2718;-3.2367;3.8591;-0.3612;0.0038;-0.4903;-0.1644;0.358;0.4522;-2.4468;260;260;0;507.203;383.13;300.559;23;0.8339;-1.0918;-1.1797;-0.1177
4000158;1;0;6;0;-0.5722;0.165;-0.7823;2.1225;1.1335;1.1793;1.944;1.9396;1.314;1.0346;240;180;300;498.92;483.028;542.471;18;-1.4212;-0.4867;-0.0956;-0.9033
4000159;1;2;6;0;-0.687;-0.4703;-0.7823;-1.013;0.1497;-1.6618;-0.71;-0.1609;-0.3352;-0.6576;220;165;110;407.363;388.723;427.07;18;1.2478;1.1525;1.6675;0.9477
