"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
27600024;0;3;5;0;0.8794;-0.6464;3.8591;-0.5544;0.2095;-1.0527;-0.4144;-0.5316;0.7628;-0.67;2;180;225;90;425.651;375.362;388.095;23;13.4576;0.4698;0.21;0.1795;0.6741;0.287
27600027;0;2;4;0;0.8794;0.9303;-0.7823;-0.9001;-0.8483;-0.6853;-0.6976;-1.0665;-1.1608;-1.8598;1;360;360;540;549.079;527.493;612.722;28;16.2338;0.7889;1.2579;1.0522;-0.1274;-1.0542
27600032;1;2;2;0;-0.7592;0.3241;0.7703;-0.8226;-0.9553;-0.9191;-0.5711;-1.6246;0.2048;1.0346;0;360;360;270;380.638;427.985;357.499;28;9.8007;1.2478;0.8371;0.4781;0.2785;0.9042
27600032;0;3;6;1;-0.687;-1.567;1.4812;0.714;1.8366;-0.1357;-0.172;1.1865;0.1597;0.2127;0;200;200;150;539.889;467.39;423.1;28;9.8007;1.2478;0.8371;0.4781;0.2785;0.9042
27600032;1;2;4;0;0.8794;-0.0358;0.8615;-0.6087;-0.3112;0.1806;-0.4248;-1.0801;1.314;0.5029;0;320;320;240;371.809;472.079;354.405;28;9.8007;1.2478;0.8371;0.4781;0.2785;0.9042
27600032;1;3;0;1;0.4637;2.7249;-0.7823;-1.0174;-0.8483;-0.9779;-0.4705;-2.5853;-0.9422;1.0346;0;180;180;180;356.67;361.456;271.23;28;9.8007;1.2478;0.8371;0.4781;0.2785;0.9042
27600032;0;0;5;0;-1.2319;0.1935;0.2907;-0.6791;-0.1094;-0.1357;-1.0711;-0.743;-0.9422;0.5029;1;360;360;270;493.601;609.492;518.696;28;9.8007;1.2478;0.8371;0.4781;0.2785;0.9042
27600033;0;2;4;0;0.1097;-0.4415;-0.7823;1.0042;0.3486;1.1793;1.3463;-0.3567;1.314;0.6364;0;180;180;90;502.465;593.162;510.731;28;17.9636;1.2478;1.0744;0.4781;-0.0452;0.1571
27600033;0;2;4;0;1.8905;0.3225;0.2907;-1.587;-1.3021;-1.7257;-1.2332;-1.4671;0.3995;-1.2973;2;180;180;180;487.965;563.909;504.153;28;17.9636;1.2478;1.0744;0.4781;-0.0452;0.1571
27600033;0;2;5;0;0.8794;0.6818;-0.7823;-1.0303;-0.3112;-0.1357;-1.2221;-0.7825;0.4394;-0.6576;0;180;180;90;338.958;460.396;443.168;28;17.9636;1.2478;1.0744;0.4781;-0.0452;0.1571
27600033;1;2;6;0;-1.8939;1.4326;-0.7823;0.1319;-1.8575;1.1793;0.9831;-0.159;-0.1605;-0.6576;0;140;140;70;474.575;377.072;479.257;28;17.9636;1.2478;1.0744;0.4781;-0.0452;0.1571
27600034;0;3;6;0;-0.687;2.7249;-0.7823;0.2736;-0.0138;-0.1357;0.5308;0.0864;1.314;1.0346;1;225;180;135;487.835;491.438;478.017;18;11.1622;1.2478;0.661;1.7599;-0.1005;0.9042
27600035;0;2;2;0;-0.687;0.6818;-0.7823;-0.6488;-0.8483;0.0477;-0.3618;-1.6297;1.314;1.0346;0;135;135;45;377.368;389.417;414.309;28;16.3056;2.9595;0.3658;0.4147;0.9028;0.9042
27600036;0;2;2;0;-0.687;-0.8428;0.2907;-0.7256;-0.6961;-2.3391;0.0451;-1.4999;-1.2781;-0.6576;0;480;480;360;541.876;475.507;522.39;28;16.9355;-1.4212;0.4487;0.4147;-0.0452;0.287
27600040;0;0;4;0;1.8905;-1.0425;0.7703;0.4257;0.545;0.0477;0.2013;0.3592;-1.7418;-1.292;0;360;360;360;570.177;721.422;704.464;28;13.5333;0.1;0.8371;1.5158;1.4533;-1.5648
27600040;1;3;6;0;-0.687;0.9683;0.2907;0.169;0.0543;-0.1357;0.4719;0.9374;-0.2327;-1.1847;0;360;360;540;465.558;424.882;452.862;28;13.5333;0.1;0.8371;1.5158;1.4533;-1.5648
27600040;1;0;6;0;-0.2006;-0.0845;0.2907;0.1988;-0.0185;1.1793;-0.2907;1.0712;-1.2781;1.0346;0;540;540;360;607.819;644.326;692.816;28;13.5333;0.1;0.8371;1.5158;1.4533;-1.5648
27600041;0;3;6;0;-1.059;-0.9165;0.7703;0.5659;0.6471;-0.6122;0.4488;0.7807;0.7015;0.2169;0;135;135;270;636.895;636.404;621.592;23;12.0676;1.2478;0.436;-0.335;0.9355;-0.2798
27600041;1;3;6;1;-0.13;2.7249;-0.7823;-0.2202;-0.1628;1.1793;-0.2899;0.7999;-0.013;-0.6576;2;180;180;360;443.563;481.847;497.8;23;12.0676;1.2478;0.436;-0.335;0.9355;-0.2798
27600042;1;3;4;1;-0.7985;0.9782;0.8615;-0.337;-0.3112;-0.1357;-0.138;-0.2669;0.4394;1.0346;0;180;180;270;491.092;578.113;583.977;23;14.5833;0.8006;1.0815;0.6947;0.9355;-1.4581
27600042;0;2;6;1;-0.6133;0.4846;-0.7823;0.7122;0.6471;0.0477;0.5687;-0.0028;-0.5886;1.0346;0;180;180;90;456.703;406.397;402.451;23;14.5833;0.8006;1.0815;0.6947;0.9355;-1.4581
27600042;1;3;6;0;-0.13;0.6818;0.2907;-0.6666;-0.1314;-0.6853;-0.5453;0.7592;-0.3673;0.0224;1;90;90;270;545.78;558.822;594.57;23;14.5833;0.8006;1.0815;0.6947;0.9355;-1.4581
27600042;0;0;5;0;0.4637;-0.1939;0.2907;1.0586;1.8366;1.1793;0.0671;0.1453;1.314;0.6364;0;135;135;405;574.718;579.752;604.696;23;14.5833;0.8006;1.0815;0.6947;0.9355;-1.4581
27600043;1;0;4;0;-1.8939;0.9423;-0.7823;0.0326;-0.1094;1.1793;0.0878;-0.8501;0.4394;1.0346;1;225;225;360;600.423;572.655;532.847;23;12.4839;-0.9432;-1.4551;-2.0719;0.2266;0.1571
27600043;1;0;4;1;-1.1858;-0.6693;0.2907;0.8298;0.9187;-0.1357;0.5953;0.136;-0.5284;0.6402;2;180;135;180;525.268;548.367;588.816;23;12.4839;-0.9432;-1.4551;-2.0719;0.2266;0.1571
27600043;0;0;5;0;0.052;-0.0599;-0.7823;0.5669;0.533;1.1793;0.101;0.4376;-1.3245;1.0346;0;180;180;360;446.019;422.125;472.639;23;12.4839;-0.9432;-1.4551;-2.0719;0.2266;0.1571
27600047;1;0;5;0;-0.687;0.6818;-0.7823;-1.1743;-0.1628;-1.0118;-1.2496;-0.5356;-0.5488;-0.6576;0;180;180;180;499.626;547.885;527.51;13;13.0435;-0.2376;0.1825;0.6355;0.4883;0.9042
27600050;0;0;4;0;-1.4869;0.9423;-0.7823;-0.0343;-0.1094;1.1793;-0.0435;-0.8342;-1.1408;1.0346;0;180;180;270;638.557;700.105;566.182;28;14.6353;-0.4413;0.0055;-0.0956;-0.1662;-1.4355
27600050;1;2;5;0;-1.1858;0.4893;-0.7823;-0.5743;0.1278;-0.6853;-0.843;-0.6473;1.314;1.0346;0;180;180;90;542.475;586.37;622.787;28;14.6353;-0.4413;0.0055;-0.0956;-0.1662;-1.4355
27600050;1;0;5;0;-0.7592;1.4903;-0.7823;0.854;1.8366;1.1793;-0.181;1.108;-0.1206;0.2127;0;180;180;270;694.541;656.506;720.141;28;14.6353;-0.4413;0.0055;-0.0956;-0.1662;-1.4355
27600055;1;0;6;1;-1.8939;2.7249;-0.7823;-1.2638;-1.8575;-0.6853;-0.9581;-0.3276;0.0703;0.2127;0;270;315;225;494.402;588.989;591.772;28;18.7901;1.0245;-0.3163;0.1795;0.6101;0.3009
