"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
20800267;0;2;6;0;-0.3799;2.7249;-0.7823;-0.7433;-0.2562;-1.0571;0.2915;0.445;1.314;1.0346;2;300;450;150;424.942;430.762;416.688;18;13.7143;0.4292;-1.4551;0.0321;0.1104
20800267;1;0;0;0;-0.4342;0.9517;-0.7823;0.8581;1.2462;-0.6853;1.1191;-2.4791;1.314;0.6402;0;2000;2000;200;346.579;355.769;319.973;18;13.7143;0.4292;-1.4551;0.0321;0.1104
20800267;0;0;6;1;-1.8939;2.7249;-0.7823;0.2731;0.1762;1.1793;0.1959;-0.0215;1.314;1.0346;0;720;720;360;418.364;425.161;437.832;18;13.7143;0.4292;-1.4551;0.0321;0.1104
20800268;1;2;6;0;-0.2006;0.1891;0.1462;0.5962;0.426;1.1793;0.6374;0.8314;0.039;0.6364;0;225;315;225;568.551;539.601;509.725;23;14.6667;-1.4212;-1.4551;-0.0384;-0.3064
20800268;0;0;6;0;-0.3009;-0.0553;-0.7823;0.4771;0.8489;1.1793;0.1024;1.1141;0.385;0.5029;0;270;270;315;541.354;579.035;457.38;23;14.6667;-1.4212;-1.4551;-0.0384;-0.3064
20800268;0;0;5;0;0.4637;-1.1206;2.896;0.9768;0.5698;0.0477;1.4987;0.9846;-1.5447;-1.0657;0;270;360;225;448.592;482.971;449.833;23;14.6667;-1.4212;-1.4551;-0.0384;-0.3064
20800272;1;0;1;0;-0.3799;-0.1562;-0.7823;0.4023;0.6628;0.2646;0.284;-2.3364;1.314;-1.5824;0;225;315;225;402.556;325.202;340.992;18;8.8;-1.4212;-1.4551;-0.0384;-0.3625
20800272;0;0;6;0;0.1097;-0.336;2.07;-0.5923;-0.7352;-0.4396;0.6631;0.558;0.7628;-0.6576;0;225;225;135;422.803;370.397;408.514;18;8.8;-1.4212;-1.4551;-0.0384;-0.3625
20800272;0;0;6;0;0.4637;0.6818;-0.7823;0.5335;0.378;1.1793;1.1776;0.9996;-0.2023;-0.6576;0;240;240;160;521.738;563.013;596.53;18;8.8;-1.4212;-1.4551;-0.0384;-0.3625
20800272;0;2;6;0;-0.6133;-0.3679;1.1211;1.1523;0.7448;0.0477;1.6469;1.2688;-0.0747;0.2169;2;175;245;70;360.427;328.17;398.221;18;8.8;-1.4212;-1.4551;-0.0384;-0.3625
20800272;0;2;6;0;-0.687;-0.5635;-0.7823;-0.4458;-1.8222;0.0477;0.9153;0.7044;-2.1621;-0.6576;0;0;0;120;367.964;389.131;377.186;18;8.8;-1.4212;-1.4551;-0.0384;-0.3625
20800275;1;0;6;1;-0.9823;0.0963;0.2907;-0.2745;0.0479;-0.5813;0.6077;0.0707;-2.7106;0.2169;1;225;315;225;541.88;462.816;502.224;23;13.3333;-0.6884;-0.5869;-0.335;-2.0013
20800276;1;0;2;0;0.4637;-0.6123;-0.7823;-0.2838;-1.2045;-0.4903;0.9271;-0.9355;-1.1481;-0.6576;0;270;315;135;397.448;359.176;393.684;23;13.9792;0.8006;0.902;-0.899;-0.5418
20800276;1;0;5;0;-1.1858;-3.2367;-0.7823;-0.7835;-1.8222;0.0477;0.2052;-0.7131;1.314;1.0346;0;180;270;180;601.618;588.633;605.192;23;13.9792;0.8006;0.902;-0.899;-0.5418
20800276;0;2;6;0;-1.8939;2.7249;-0.7823;0.3798;0.1762;1.1793;0.6068;0.0902;1.314;1.0346;0;315;450;135;421.511;430.58;399.398;23;13.9792;0.8006;0.902;-0.899;-0.5418
