"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
44200005;1;2;2;6;0;1.1911;-1.1206;0.7703;1.4784;0.9217;1.1793;0.7027;1.5472;1.314;1.0346;270;180;270;588.433;592.881;608.694;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;2;2;6;1;-0.2006;-0.763;0.2907;0.6386;0.6676;0.0477;0.206;1.1634;1.314;-0.6576;180;180;180;512.832;597.42;560.024;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;3;6;0;-0.9295;-0.3184;-0.7823;0.906;1.5766;1.1793;-0.0446;1.2765;-0.9734;-0.6576;180;180;270;617.391;659.211;585.511;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;1.8905;-0.5707;0.2907;1.0307;0.1275;-0.1357;1.7375;1.248;-2.1621;0.2127;180;180;270;536.618;645.447;581.142;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;4;0;-1.4869;-0.7061;0.2907;0.9909;1.4029;-0.6853;0.3746;0.6736;1.314;1.0346;270;180;270;509.724;581.351;576.922;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;6;0;-0.9823;-0.1562;-0.7823;0.986;0.4479;-0.4884;0.7403;1.3104;-1.2402;-0.6576;270;180;270;646.587;657.07;630.655;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;1.1422;-0.6659;-0.7823;0.7483;1.5766;-0.1357;0.0583;1.2382;-0.5575;-0.6576;270;180;270;668.988;627.961;576.601;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;3;2;6;0;1.8905;-0.7654;0.7703;-0.1959;0.5142;-0.6853;-0.8927;0.8102;-1.7949;-0.6576;270;135;270;696.914;631.789;641.903;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;6;0;0.4637;2.7249;1.1625;0.6713;0.8921;-0.6122;0.4844;1.1772;-1.1481;-0.6576;270;180;270;558.283;543.456;590.988;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;3;2;6;0;-0.7592;1.4326;-0.7823;-0.5297;-0.0364;-0.6853;-0.4332;0.6973;1.314;0.6364;270;135;270;555.672;664.998;586.098;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;2;2;6;0;-0.13;0.0638;1.5082;0.5422;0.7878;-0.6853;0.4031;1.0193;-0.8176;-0.9167;270;180;270;733.425;661.127;689.506;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;0;2;2;6;0;0.1097;-0.4509;0.2907;0.9402;1.5766;-0.1357;0.0815;1.2097;-1.8485;0.6402;180;180;270;599.759;592.997;655.011;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
44200005;1;2;2;6;1;-5e-04;0.3124;-0.7823;0.0499;0.5264;-0.6853;-0.0951;0.336;0.4394;-1.4926;180;180;90;389.583;413.346;393.187;28;10.2828;-0.5953;0.4554;-0.1493;0.2266
