"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"61" 75200041 1 1 494 4 0 -0.7043 1.1904 NA NA NA NA NA -0.5909 -0.4983 -0.4903 -0.2672 -0.1968 -2.7106 NA NA NA NA 491.559 258.061 456.412
"62" 75200058 1 3 853 6 0 0.638 0.7192 1.1811 1.0671 -0.0614 0.6401 -0.7823 -1.1089 0.4332 0.0477 -1.4725 0.0018 1.314 -0.6576 180 180 180 331.621 365.095 254.234
"63" 75200168 0 1 494 6 0 0.5935 -1.272 0.4352 1.8905 -1.9135 -0.6659 0.8615 0.6529 0.9334 0.2646 -0.0481 0.1352 1.314 -0.6576 180 180 180 555.947 568.518 502.113
"64" 75200097 1 1 494 4 0 -0.0176 -1.272 -1.1309 -0.3799 -0.0614 -0.4415 0.2907 -0.0826 -1.8427 -0.4396 0.8505 -0.3614 -0.4082 -0.6576 165 165 110 459.577 523.179 423.132
"65" 75200095 0 1 494 4 0 -0.1042 2.4403 2.0054 0.176 -0.7906 -0.4138 -0.7823 -0.6431 -1.2382 -0.8243 -0.3297 -0.9756 1.314 -0.6576 165 165 110 443.778 496.179 450.196
"66" 75200160 0 1 494 6 0 -2.7114 1.8027 2.0054 1.8905 -0.0614 -0.8223 2.0604 0.2821 -0.4983 -0.4396 1.1729 0.7797 -0.6573 1.0346 165 165 110 468.949 435.908 424.584
"67" 75200182 0 1 494 6 0 -0.7077 0.2705 -0.9792 0.4637 0.2883 -1.2136 -0.7823 0.6384 -0.1046 0.2646 0.8227 0.4471 -1.1481 1.0346 160 120 160 492.101 509.644 517.426
"68" 75200035 1 1 494 6 0 -1.3214 -0.7816 1.1811 1.1422 -0.4531 -0.7062 -0.7823 0.6551 1.3363 0.0477 0.2122 1.0623 0.385 0.2169 220 165 165 599.623 614.818 656.126
"69" 75200195 0 2 494 6 0 0.0841 -0.6451 -1.3898 -1.0109 0.4558 1.4685 -0.7823 0.5628 0.5278 1.1793 0.6866 0.8985 -0.7857 1.0346 240 320 160 340.499 420.336 427.162
"70" 75200166 0 1 494 6 0 1.4205 -0.2888 1.1811 1.8905 1.6219 0.7274 -0.7823 0.5477 0.8508 -1.2622 0.7041 0.9708 1.314 -1.3939 240 180 240 617.423 701.857 637.528
