"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"460" 82600024 1 1 0 6 0 0.052 -0.4415 1.1625 0.5706 -0.9386 0.0477 0.9143 1.0532 -0.2327 -1.3914 0 275 275 330 573.57 562.555 495.398 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"461" 82600024 0 1 0 6 0 1.8905 -1.314 2.896 -0.224 -0.5869 -0.4903 0.1441 0.3794 -0.2023 0.2169 1 275 275 275 300.066 260.602 301.284 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"462" 82600024 1 1 0 3 0 -0.687 2.7249 -0.7823 -0.3242 0.5478 1.1793 -0.865 -0.8443 1.314 1.0346 2 220 220 220 401.125 534.265 452.17 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"463" 82600024 0 1 0 6 0 -0.2006 -0.4415 1.0894 -0.0037 -1.3625 -0.4396 0.4284 0.5905 -0.2023 1.0346 1 40 40 60 450.342 364.171 365.058 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"464" 82600024 1 1 0 5 0 0.2734 -1.1224 2.07 -2.1743 -0.9827 -2.3003 -1.1779 -1.5856 0.3485 1.0346 2 180 240 420 267.283 423.118 492.305 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"465" 82600024 1 1 0 6 0 -0.687 -0.3184 1.1625 1.1074 1.8498 0.0477 0.4837 1.1832 0.7015 1.0346 2 240 240 240 540.991 606.799 595.804 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"467" 82600024 0 1 0 3 0 0.1097 0.0348 1.1625 0.5915 -0.7397 1.1793 1.0375 -0.7157 1.314 -0.6576 1 240 240 240 454.447 477.748 476.235 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"470" 82600024 0 1 0 6 0 1.8905 -0.3187 1.2327 -0.6619 0.0782 -0.9855 -0.9736 0.3802 1.314 1.0346 2 180 300 240 342.023 311.89 411.695 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"471" 82600024 1 1 0 2 0 -1.8939 -0.1762 -0.7823 0.7214 0.7098 -0.1357 1.1113 -0.4958 -1.1481 -1.5824 1 220 220 220 462.756 365.485 471.726 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"473" 82600024 0 1 0 4 0 1.8905 -0.4415 -0.7823 0.4536 0.2817 -0.1357 0.5416 -0.5553 -0.4082 1.0346 0 240 300 300 559.789 518.12 501.715 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"475" 82600024 1 1 0 3 0 0.1097 -0.0358 0.2907 -0.9301 -1.8434 -0.5813 -0.4547 -1.1409 0.4394 0.5029 0 300 300 300 464.77 490.881 511.047 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"476" 82600024 1 1 0 5 0 0.0208 -0.9298 0.7703 -1.6094 -0.7847 -2.3391 -0.5589 -1.8294 -0.3673 -0.6576 0 420 420 360 583.935 603.058 625.594 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"478" 82600024 0 1 0 3 0 0.4637 -0.6659 1.1928 -0.5083 -1.8434 -0.4396 0.3204 -0.9979 -0.2023 0.2127 0 220 220 220 513.868 517.702 477.404 28 18.4359 -0.2376 -0.7828 -0.335 0.2266
"513" 82600027 1 1 0 4 0 1.8905 -1.4484 1.2327 -1.2812 -1.3625 -1.1878 -0.6119 -1.3249 -0.7453 1.0346 0 240 240 300 452.308 525.539 525.337 28 17.1429 1.6863 1.2432 1.2343 1.4533
"514" 82600027 1 1 0 2 0 1.8905 -1.186 0.6725 -0.1504 -1.3625 -0.6853 0.3065 -0.6171 -0.5575 1.0346 0 240 240 300 518.274 537.748 541.765 28 17.1429 1.6863 1.2432 1.2343 1.4533
"515" 82600027 0 1 0 5 0 1.4083 0.1837 -0.7823 0.1522 -0.3902 1.1793 0.0428 0.1577 0.7628 0.2169 0 240 240 240 638.375 605.224 617.206 28 17.1429 1.6863 1.2432 1.2343 1.4533
"516" 82600027 0 1 0 5 0 0.176 2.7249 0.2308 0.4265 -1.3625 0.0477 0.9399 0.5975 -0.5575 1.0346 0 240 240 240 424.93 387.327 297.696 28 17.1429 1.6863 1.2432 1.2343 1.4533
"517" 82600027 0 1 0 5 0 -0.729 -0.6477 0.8615 0.2199 0.7725 1.1793 -0.1371 -0.3201 1.314 1.0346 0 240 240 240 460.136 471.718 366.15 28 17.1429 1.6863 1.2432 1.2343 1.4533
"518" 82600027 1 1 0 6 0 1.4083 -1.866 1.2618 -1.0127 -1.8434 0.2646 -0.5732 0.2735 -0.5284 1.0346 1 240 240 180 517.198 528.12 498.155 28 17.1429 1.6863 1.2432 1.2343 1.4533
"519" 82600027 1 1 0 6 0 0.4637 -1.3152 1.7669 0.3243 -0.0506 1.1793 -0.0719 1.0079 0.385 1.0346 0 280 280 490 679.656 578.446 522.703 28 17.1429 1.6863 1.2432 1.2343 1.4533
"521" 82600027 0 1 0 6 0 0.1097 0.6818 0.2907 0.1773 -0.3559 1.1793 0.0428 0.3428 -0.5575 1.0346 0 240 240 360 515.775 486.031 513.025 28 17.1429 1.6863 1.2432 1.2343 1.4533
"523" 82600027 0 2 0 4 0 0.4637 -0.3184 0.7703 1.0021 0.2741 1.1793 0.8854 -0.3716 -0.0348 1.0346 0 240 240 360 568.718 662.365 564.851 28 17.1429 1.6863 1.2432 1.2343 1.4533
"526" 82600027 0 1 0 6 0 -0.687 0.0304 -0.7823 0.3297 -0.7397 -0.7319 0.6211 0.9513 1.314 -0.6576 0 240 240 360 617.142 637.82 569.196 28 17.1429 1.6863 1.2432 1.2343 1.4533
"527" 82600027 0 1 0 5 0 0.4637 -0.4415 1.8279 -0.4919 -0.6699 0.0477 -0.1647 -0.685 -0.2251 1.0346 0 240 240 240 503.708 520.183 519.866 28 17.1429 1.6863 1.2432 1.2343 1.4533
"528" 82600027 0 1 0 4 0 -0.0845 -0.4415 0.7703 -0.4379 -1.8434 0.0477 0.0822 -0.8709 0.2384 1.0346 1 240 240 420 485.914 461.981 539.971 28 17.1429 1.6863 1.2432 1.2343 1.4533
"529" 82600027 0 1 0 6 0 -1.1858 2.7249 -0.7823 0.5247 0.5478 0.7604 0.3527 0.8823 1.314 -2.4468 0 180 180 240 388.44 471.182 340.888 28 17.1429 1.6863 1.2432 1.2343 1.4533
"530" 82600027 1 2 0 6 0 1.4083 0.8801 0.8233 1.0938 0.5478 -0.4396 1.1636 -1.6918 -0.2023 0.5029 1 240 240 240 439.294 433.957 469.204 28 17.1429 1.6863 1.2432 1.2343 1.4533
"531" 82600027 0 1 2 6 0 0.4637 0.3018 -0.7823 -0.2045 -0.9827 1.1793 0.0716 0.605 1.314 1.0346 0 240 240 420 454.645 529.997 490.307 28 17.1429 1.6863 1.2432 1.2343 1.4533
"532" 82600027 1 1 0 6 0 -0.687 -0.4415 -0.7823 -1.9183 -1.8434 -2.096 -0.8238 -1.0758 1.314 -0.6576 0 240 240 240 386.37 427.496 353.876 28 17.1429 1.6863 1.2432 1.2343 1.4533
"533" 82600027 0 3 2 4 0 0.5949 -0.4415 0.2907 0.3227 0.3125 1.1793 -0.1043 -0.5101 1.314 0.6402 1 220 220 220 442.445 424.282 457.81 28 17.1429 1.6863 1.2432 1.2343 1.4533
"534" 82600027 0 1 0 5 0 1.4083 -0.5707 -0.7823 -0.0225 0.5478 0.0477 -0.287 -0.2541 1.314 -1.3939 0 240 240 240 511.832 525.232 469.782 28 17.1429 1.6863 1.2432 1.2343 1.4533
"535" 82600027 0 1 0 5 0 1.8905 -0.3184 0.2907 -0.2582 -0.1662 -1.8813 0.729 -0.082 0.6259 -0.6576 0 180 240 240 342.769 402.752 454.127 28 17.1429 1.6863 1.2432 1.2343 1.4533
"536" 82600027 0 1 0 6 0 1.8905 -1.6297 1.1928 0.2211 -0.53 0.031 0.3625 1.015 -0.6262 -0.6576 0 240 240 240 448.691 474.727 559.183 28 17.1429 1.6863 1.2432 1.2343 1.4533
"539" 82600027 0 1 0 3 0 1.0671 -0.4415 0.2907 0.7583 0.3125 1.1793 0.8043 -0.391 -0.5575 1.0346 0 240 240 240 429.99 510.897 463.361 28 17.1429 1.6863 1.2432 1.2343 1.4533
"540" 82600027 0 1 0 5 0 -0.4342 0.3018 -0.7823 -0.4416 -0.7486 0.0477 -0.1178 -0.4979 1.314 1.0346 0 240 240 240 535.306 468.294 445.395 28 17.1429 1.6863 1.2432 1.2343 1.4533
"541" 82600027 1 2 0 3 0 -1.0109 2.7249 -0.7823 -0.3062 -0.9827 -0.4511 0.3696 -0.4371 1.314 1.0346 0 240 240 240 545.068 487.197 546.178 28 17.1429 1.6863 1.2432 1.2343 1.4533
"547" 82600028 1 2 0 6 0 -1.8939 0.3241 0.6725 -0.329 -0.3833 1.1793 -0.254 0.3532 1.314 -0.6576 0 240 240 240 522.406 427.977 375.744 23 14.7368 0.1 0.43 -0.0384 -0.1695
"551" 82600028 1 3 2 5 0 1.0671 0.4402 0.7703 -0.8399 0.363 -0.9649 -1.3366 -0.9329 -1.415 -0.6576 0 840 700 980 426.52 505.448 459.202 23 14.7368 0.1 0.43 -0.0384 -0.1695
"554" 82600028 1 3 2 6 0 0.8794 -0.2444 1.1211 0.1577 0.2139 1.1793 0.0047 -0.0393 0.0297 1.0346 2 275 275 165 397.424 321.903 374.084 23 14.7368 0.1 0.43 -0.0384 -0.1695
"555" 82600028 0 1 0 5 0 -1.8939 -0.6659 -0.7823 0.5395 0.3125 0.0477 0.5343 0.3437 1.314 1.0346 0 300 300 300 448.943 493.985 463.915 23 14.7368 0.1 0.43 -0.0384 -0.1695
