"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"157" 5600005 1 1 0 6 0 0.7405 -0.8632 -0.7823 0.1286 -1.8696 -0.4396 1.1441 0.5853 -1.1846 -0.67 2 150 150 150 370.808 303.263 477.76 18 9.23 0.1 -0.614 0.7486 0.1104
"158" 5600005 1 1 0 3 0 -0.4342 0.6818 0.7703 -0.0485 -0.4882 1.1793 -0.0653 -0.7183 -0.2023 1.0346 2 200 200 200 420.007 397.968 423.702 18 9.23 0.1 -0.614 0.7486 0.1104
"160" 5600006 1 1 0 5 0 -1.0109 -0.0568 -0.7823 0.3538 -0.4882 1.1793 0.6352 0.721 -0.819 1.0346 0 150 200 50 521.185 534.945 466.541 13 5.205 0.4292 1.0815 1.3327 1.3977
"161" 5600006 1 1 0 5 0 1.8905 1.4326 -0.7823 -0.6727 -1.8696 -0.4903 -0.2408 -0.6622 -1.7418 -1.4861 0 250 200 500 595.543 559.366 679.547 13 5.205 0.4292 1.0815 1.3327 1.3977
"162" 5600006 1 1 0 5 1 -0.687 0.6818 0.2907 -0.4517 -0.7708 0.0477 -0.3863 -2.368 -1.1408 -0.6576 1 50 100 0 449.919 402.706 438.037 13 5.205 0.4292 1.0815 1.3327 1.3977
"163" 5600006 1 1 0 4 0 0.8794 -0.3631 0.7703 0.7594 -0.2704 1.1793 1.456 -0.5151 1.314 1.0346 0 150 200 50 469.441 463.371 509.736 13 5.205 0.4292 1.0815 1.3327 1.3977
"164" 5600006 1 1 0 6 0 -0.7985 -0.2799 1.203 0.3822 0.0181 1.1793 0.4752 0.3694 -0.7074 -0.6576 2 150 200 50 483.282 473.765 480.454 13 5.205 0.4292 1.0815 1.3327 1.3977
"165" 5600006 1 1 1 4 0 -0.13 -0.5635 0.7703 0.4756 -0.4882 1.1793 0.8709 -0.2631 -0.3172 -0.6576 0 120 120 60 466.996 330.836 442.291 13 5.205 0.4292 1.0815 1.3327 1.3977
"167" 5600006 1 1 0 6 0 -0.2006 0.6818 0.8615 0.4329 -0.7097 1.1793 0.8169 0.4738 -0.0348 -0.6576 0 300 200 500 480.173 529.087 525.103 13 5.205 0.4292 1.0815 1.3327 1.3977
"169" 5600006 1 1 1 4 1 -0.3799 -1.032 1.8016 0.5154 -0.0809 0.6763 0.5182 0.059 -1.2781 -0.6576 2 0 165 0 486.342 477.901 436.813 13 5.205 0.4292 1.0815 1.3327 1.3977
"170" 5600006 1 1 0 4 0 -0.687 0.3241 -0.7823 -0.5253 -0.229 -1.0118 -0.6302 -0.9805 -0.8998 -0.6576 2 200 200 250 446.804 473.189 507.722 13 5.205 0.4292 1.0815 1.3327 1.3977
"174" 5600006 1 1 0 4 0 -1.4869 0.3349 -0.7823 0.5708 0.4713 1.1793 0.6946 0.2606 -1.0955 -0.6576 2 250 200 100 488.25 518.429 487.751 13 5.205 0.4292 1.0815 1.3327 1.3977
"177" 5600006 1 1 1 5 0 -1.8939 0.4893 0.2907 1.2514 0.6302 1.1793 1.0739 0.8303 -0.1931 1.0346 0 50 100 100 398.732 464.115 467.959 13 5.205 0.4292 1.0815 1.3327 1.3977
