"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"62" 4000002 1 NA 148 6 0 -0.772 3.0064 2.0054 -1.8939 -3.1675 -1.3027 -0.7823 0.6048 -0.6072 1.1793 0.7104 0.6743 -2.7106 NA NA NA NA 512.901 394.016 451.984 23 -0.6344 -1.8617 0.6482 0.2169
"63" 4000002 1 1 148 6 0 -0.0616 1.9717 -0.2047 1.1422 -0.8371 -0.763 -0.7823 0.456 -0.0367 1.1793 0.8658 0.3699 -0.0348 -1.8624 510 255 255 483.109 365.793 447.533 23 -0.6344 -1.8617 0.6482 0.2169
"64" 4000002 1 1 148 3 0 -2.7114 -0.0545 0.4352 -1.2792 -0.0136 -0.6693 0.2907 -0.0814 -0.4132 -0.1357 0.0194 -0.3578 1.314 1.0346 300 300 100 622.502 589.967 587.406 23 -0.6344 -1.8617 0.6482 0.2169
"65" 4000002 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 420.717 339.41 380.223 23 -0.6344 -1.8617 0.6482 0.2169
"66" 4000003 1 1 148 5 0 -1.0322 -1.272 -0.4112 -0.2459 -0.7325 0.3018 NA 0.9469 1.8303 -0.1357 0.3316 0.8518 -0.6587 NA NA NA NA 673.041 664.944 612.196 13 1.2478 0.1562 0.6764 -0.1662
"67" 4000003 1 2 500 3 0 -1.9715 -1.272 0.7262 -1.8939 1.6438 1.4903 -0.7823 -0.4282 -0.7725 -1.0118 0.3148 -0.5157 1.314 0.6364 200 100 200 495.233 417.57 457.283 13 1.2478 0.1562 0.6764 -0.1662
"68" 4000003 1 3 663 4 0 0.428 1.2958 0.571 1.1422 -0.7997 -0.8527 1.1625 -0.7549 0.4231 -1.3525 -0.7947 -1.023 0.2485 -1.1817 250 150 0 554.599 498.154 536.3 13 1.2478 0.1562 0.6764 -0.1662
"69" 4000003 1 1 148 5 0 -0.131 -1.272 0.1956 -1.8939 1.6438 1.4685 0.2907 0.7834 0.9421 -0.1357 0.9475 0.1632 -0.2023 1.0346 200 200 750 477.18 458.953 519.117 13 1.2478 0.1562 0.6764 -0.1662
"70" 4000003 1 1 802 6 0 -1.3214 -0.7816 0.6314 -0.3009 -1.6666 -0.6306 3.8591 0.4095 1.0552 -0.6122 0.0215 0.7025 -0.4501 -0.9167 300 100 600 500.179 479.396 487.63 13 1.2478 0.1562 0.6764 -0.1662
"71" 4000003 1 1 148 3 0 -0.2406 0.2705 0.2653 -0.687 -1.0974 -0.3184 0.2308 -0.2811 -0.7725 -0.1357 0.1307 -1.0352 -0.6262 -1.0691 200 100 150 530.029 510.124 508.076 13 1.2478 0.1562 0.6764 -0.1662
"72" 4000003 1 2 344 5 0 -0.4389 0.2705 0.1956 -0.4939 -0.0614 0.4951 0.2907 -0.2446 -0.1308 -0.4884 -0.0057 -0.4146 1.314 -0.6576 150 150 300 380.647 399.705 371.222 13 1.2478 0.1562 0.6764 -0.1662
"73" 4000003 1 2 148 3 0 -1.6062 -0.7816 0.1956 -0.2006 -0.7622 -0.6913 0.2907 -0.2993 -0.7725 -1.2622 0.7104 -0.3921 1.314 1.0346 200 150 200 480.456 399.835 462.496 13 1.2478 0.1562 0.6764 -0.1662
"74" 4000003 1 1 148 3 1 -1.1538 -0.6346 0.6314 -1.4869 1.6219 0.6713 -0.7823 1.0525 0.9421 1.1793 0.7548 -0.2127 0.7015 1.0346 200 100 50 477.604 370.239 348.347 13 1.2478 0.1562 0.6764 -0.1662
"75" 4000003 1 1 148 5 1 -1.352 -1.272 -2.345 -1.4242 0.7251 -0.6505 0.2907 0.1909 0.0346 1.1793 0.344 -0.2657 -0.2327 1.0346 350 150 100 427.953 396.655 368.386 13 1.2478 0.1562 0.6764 -0.1662
"76" 4000003 1 1 148 3 1 0.7546 0.8232 -0.5707 -1.059 0.3858 0.1837 NA 0.1463 1.8303 -0.9386 -0.8144 -0.1414 -0.5575 NA NA NA NA 520.794 482.35 535.15 13 1.2478 0.1562 0.6764 -0.1662
"77" 4000003 1 1 148 4 0 0.1372 0.2705 -0.9792 0.4637 -0.0614 0.3018 -0.7823 -0.5668 -0.7725 -0.1357 -0.5203 -0.4628 -1.1481 -0.6576 200 150 350 494.794 488.525 488.126 13 1.2478 0.1562 0.6764 -0.1662
"78" 4000003 1 1 148 5 0 0.308 0.2705 -0.2047 0.4637 -1.6588 -0.6464 2.4601 -1.3442 -0.7148 -0.5668 -1.8147 0.0531 -1.1481 -0.6576 200 100 100 436.433 360.383 401.39 13 1.2478 0.1562 0.6764 -0.1662
"79" 4000003 1 1 148 5 0 0.7546 -0.6451 0.4352 0.4637 -1.3068 -0.9111 NA -0.5151 0.1497 -0.6853 -0.3238 -0.1026 -0.8998 NA NA NA NA 467.886 512.506 534.609 13 1.2478 0.1562 0.6764 -0.1662
"80" 4000003 1 2 663 3 1 -0.8211 -0.8863 -0.9792 -0.687 -0.4684 0.3349 -0.7823 -0.1924 -0.7725 1.1793 0.2268 -0.8769 0.481 1.0346 180 90 360 492.566 399.751 430.436 13 1.2478 0.1562 0.6764 -0.1662
"81" 4000003 1 1 148 5 0 -0.7077 -0.5536 0.7871 1.3423 -0.096 0.0348 0.2308 0.1177 1.1335 -0.1357 -0.39 -0.1468 -0.0037 1.0346 200 200 400 485.166 469.868 436.698 13 1.2478 0.1562 0.6764 -0.1662
"82" 4000003 1 1 148 5 0 -1.793 1.9837 -0.2047 -0.9823 0.3858 0.4846 NA -0.1792 0.1121 -0.1357 -0.1083 0.1548 -0.3971 NA NA NA NA 561.847 502.392 517.72 13 1.2478 0.1562 0.6764 -0.1662
"83" 4000003 1 1 148 3 0 -0.8176 -0.5536 -1.2708 -0.9823 0.4152 0.4951 -0.7823 -0.7296 0.5522 -0.1357 -1.4325 -0.6203 -0.0348 -2.4468 200 100 450 481.028 496.606 482.532 13 1.2478 0.1562 0.6764 -0.1662
"84" 4000003 1 2 105 2 0 -1.384 -0.2888 2.0054 -1.2792 1.6438 0.4893 -0.7823 0.0581 0.0038 -0.1357 0.3685 -1.4224 -1.3345 -0.6576 180 135 315 456.301 390.43 361.089 13 1.2478 0.1562 0.6764 -0.1662
"85" 4000003 0 1 148 3 0 0.8418 1.0453 0.1956 0.4637 -0.0614 0.6818 -0.7823 -0.2036 0.1785 -0.6853 -0.0943 -1.0617 -0.4671 1.0346 200 150 400 401.996 395.373 414.544 13 1.2478 0.1562 0.6764 -0.1662
"86" 4000003 1 1 148 6 1 0.1847 0.6091 -0.6437 -0.6133 -1.1356 -0.1769 -0.7823 1.0409 -0.0367 1.1793 1.9131 0.3474 -0.8154 -1.3964 35 280 0 367.533 272.284 393.7 13 1.2478 0.1562 0.6764 -0.1662
"87" 4000003 1 1 148 4 0 -1.352 0.2705 1.2643 0.4637 0.8236 0.3018 -0.7823 0.5351 0.1497 1.1793 0.7732 -0.5208 0.7628 1.0346 250 150 350 505.388 475.064 470.706 13 1.2478 0.1562 0.6764 -0.1662
"88" 4000003 1 1 148 5 0 -2.7114 0.2705 -0.2047 -0.4342 -0.8386 0.4581 -0.7823 0.8112 0.0038 1.1793 1.2929 0.0406 0.4394 0.2169 200 150 400 499.974 403.54 429.022 13 1.2478 0.1562 0.6764 -0.1662
"89" 4000003 1 1 148 6 0 -0.4538 -0.7816 1.1811 1.0671 1.6219 -0.0728 0.2907 0.4865 0.329 0.0477 0.3408 1.1274 -1.6031 1.0346 NA NA NA 371.977 426.344 417.191 13 1.2478 0.1562 0.6764 -0.1662
"90" 4000003 1 1 148 3 0 -2.7114 -1.272 -0.0326 0.3335 -0.8298 0.6818 NA -0.0789 -0.7725 0.0477 0.2615 -0.6307 -1.0628 1.0346 200 200 100 475.069 425.357 454.407 13 1.2478 0.1562 0.6764 -0.1662
"91" 4000003 1 2 148 NA 0 -0.9016 -0.7816 0.4352 -0.687 2.1447 NA NA 0.018 -0.5896 -0.9165 0.687 -0.7797 -0.7161 NA NA NA NA 436.641 309.133 426.307 13 1.2478 0.1562 0.6764 -0.1662
"92" 4000003 1 1 148 3 1 -2.7114 -1.272 -0.2661 0.4637 -0.0614 0.2243 NA -0.4726 0.1497 -0.6122 -0.5231 -0.8581 -0.9734 NA NA NA NA 540.922 454.428 443.648 13 1.2478 0.1562 0.6764 -0.1662
"93" 4000003 1 1 148 6 1 -1.1538 1.0558 -0.2661 -0.13 -0.0614 -0.0845 NA -0.2829 -0.5158 -0.6122 0.047 0.0879 -0.7475 NA NA NA NA 532.021 472.768 516.117 13 1.2478 0.1562 0.6764 -0.1662
"94" 4000003 1 1 663 3 0 -0.9223 0.7323 -0.9792 -1.8939 1.233 0.1952 0.8615 -1.0122 -1.8538 -1.2622 -0.2276 -0.8927 -1.8485 -1.58 200 100 NA 384.668 363.555 391.487 13 1.2478 0.1562 0.6764 -0.1662
"95" 4000003 0 2 148 5 1 -1.1538 0.2705 0.1956 -0.3799 -0.4684 0.0595 1.5082 -0.1207 0.3676 1.1793 -0.2258 -0.5969 -0.3673 -1.3939 200 100 250 381.1 319.027 305.725 13 1.2478 0.1562 0.6764 -0.1662
"96" 4000003 1 1 148 3 0 0.4956 0.9059 -0.6437 1.8905 -0.6123 -0.5665 NA -0.4361 -0.5158 -1.1945 0.0832 -1.021 -2.7106 NA NA NA NA 459.809 473.526 413.828 13 1.2478 0.1562 0.6764 -0.1662
"97" 4000003 1 1 344 6 1 -0.7595 NA 0.1244 -1.8939 1.217 0.6879 1.7405 -0.7546 -0.5158 -0.6122 -0.5079 -1.8195 1.314 0.2127 220 165 330 306.35 331.907 394.81 13 1.2478 0.1562 0.6764 -0.1662
"98" 4000003 1 2 344 2 0 -0.9609 0.9672 -0.2661 1.3423 -0.0422 0.6818 -0.7823 -0.4983 0.6411 -0.4903 -0.6668 -1.4873 -0.7769 1.0346 200 100 300 413.824 374.465 373.569 13 1.2478 0.1562 0.6764 -0.1662
"99" 4000003 1 1 148 3 1 -0.7983 0.2705 0.1956 -0.687 0.4552 0.6818 -0.7823 -0.1997 -0.7725 0.1806 0.274 -0.5026 -0.2023 0.3586 200 100 350 407.809 457.078 471.437 13 1.2478 0.1562 0.6764 -0.1662
