"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"64" 75600002 1 1 0 6 0 -1.4869 0.3241 -0.7823 1.4473 -0.1298 1.0346 360 180 180 566.816 568.605 665.6 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"65" 75600002 0 3 3 6 0 0.4637 -0.3184 -0.7823 1.2803 -1.1481 1.0346 180 180 90 581.667 534.363 549.249 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"66" 75600002 1 3 2 4 0 -1.8939 -0.7764 0.1462 0.0334 -0.3971 -1.0657 180 135 180 574.498 478.763 526.475 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"68" 75600003 1 1 0 6 0 -0.687 1.4903 -0.7823 1.1059 0.385 0.6402 270 180 270 758.378 647.855 664 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"69" 75600003 0 1 0 6 0 -0.687 0.6818 -0.7823 1.1225 -1.1408 1.0346 225 180 90 680.862 730.988 680.67 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"71" 75600003 0 1 0 6 0 -0.9295 0.9683 -0.7823 1.1296 -0.013 0.6402 180 135 180 674.41 563.021 516.966 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"75" 75600003 0 1 0 6 0 -1.8939 0.9683 -0.7823 0.7333 -0.5973 1.0346 180 180 90 592.428 671.842 613.283 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"76" 75600003 1 2 3 3 0 -0.7592 2.7249 0.7703 -0.1988 -0.5973 -1.3939 225 135 315 569.263 462.425 463.564 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"78" 75600003 1 2 2 4 0 -1.8939 1.4326 -0.7823 0.6291 1.314 1.0346 270 180 180 695.419 732.894 618.029 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"80" 75600003 0 2 3 6 0 1.0944 -0.0633 0.7703 0.6799 -1.8358 1.0346 270 180 270 617.949 571.775 530.04 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"86" 75600003 0 1 0 6 0 -0.7592 2.7249 0.2907 1.2789 -1.1965 0.6364 225 180 360 685.319 651.32 640.749 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"87" 75600003 0 1 0 6 0 -0.687 0.1634 -0.7823 0.7543 -0.819 1.0346 225 180 180 649.957 678.211 624.88 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"89" 75600003 0 1 0 6 0 -1.1858 0.0672 0.2907 1.2952 -0.3673 -0.6576 135 180 270 602.191 613.901 646.23 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"90" 75600003 0 2 0 6 0 1.0944 -0.3184 0.2907 0.8427 -1.3345 -0.6576 225 135 270 642.435 646.605 614.558 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"93" 75600003 1 2 3 6 0 -1.109 0.6738 1.5346 0.621 -1.1481 1.0346 270 180 360 561.814 539.775 525.482 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"94" 75600003 1 1 0 6 0 -1.4869 -0.9675 -0.7823 0.9899 0.0079 0.2169 135 135 180 583.184 559.218 549.627 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"95" 75600003 0 3 3 6 0 0.052 1.4326 -0.7823 0.85 -0.0348 1.0346 270 135 315 745.565 627.159 639.037 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042 "public"
"99" 75600004 1 1 0 6 0 -0.9823 0.9423 -0.7823 1.0313 0.7628 1.0346 180 180 135 350.546 366.062 371.534 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"110" 75600004 1 1 0 5 0 -0.4342 1.4326 -0.7823 -0.26 0.481 1.0346 225 180 135 573.79 570.621 532.363 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"111" 75600004 1 1 0 5 0 -1.1597 2.7249 0.7703 -0.6471 0.6259 1.0346 180 180 360 486.58 487.501 477.728 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"114" 75600004 1 1 0 5 0 -1.1597 -0.1064 -0.7823 1.0394 1.314 1.0346 225 180 225 692.711 646.403 703.932 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"115" 75600004 1 1 0 5 0 1.8905 -0.9836 2.9705 0.2031 0.7628 -0.6576 225 180 135 559.015 480.69 549.321 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"117" 75600004 0 1 0 3 0 -0.2006 2.7249 -0.7823 -0.6065 0.481 1.0346 180 180 315 574.667 530.997 569.901 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"118" 75600004 0 1 0 1 0 1.1422 -0.8428 2.0604 -1.9151 -0.3584 -1.2947 135 90 225 424.463 466.504 413.227 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"123" 75600004 0 1 0 3 0 -0.4342 -1.186 1.1211 -0.6436 0.4394 0.6364 180 180 225 497.13 509.451 583.733 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"125" 75600004 1 1 0 3 0 -0.4342 0.9423 0.2907 -1.064 -0.0037 0.6402 225 225 135 567.302 514.131 608.178 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"126" 75600004 0 1 0 4 0 -1.4869 -0.9331 -0.7823 -0.3355 -0.2023 1.0346 180 180 135 435.013 433.389 502.398 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042 "public"
"135" 75600005 1 3 2 6 0 -0.3799 -0.4217 -0.7823 0.903 -1.1481 -0.6576 270 270 90 481.848 417.989 382.98 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"137" 75600005 1 1 0 5 0 0.1097 -0.9836 1.5082 0.4377 -0.7074 -1.0691 360 360 90 497.79 358.535 399.142 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"138" 75600005 0 2 3 6 0 -0.0288 -1.2605 1.5172 0.1688 -2.7106 0.0116 0 0 0 428.137 281.327 363.424 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
"141" 75600005 1 1 0 4 0 -0.6133 -0.1769 -0.7823 -0.4423 -2.7106 -1.7671 105 105 105 352.433 330.831 349.48 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542 "public"
