"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"555" 82600028 0 1 0 5 0 -1.8939 -0.6659 -0.7823 0.3437 1.314 1.0346 0 300 300 300 448.943 493.985 463.915 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"558" 82600028 0 2 2 0 0 1.8905 -1.2199 1.5346 -3.3969 0.6259 -1.3914 2 240 240 360 514.318 487.224 535.126 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"559" 82600028 0 2 2 6 0 0.8794 -0.0358 -0.7823 1.255 1.314 1.0346 1 900 900 900 616.655 631.635 576.155 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"561" 82600028 0 2 0 2 0 0.5949 -0.763 1.1625 -0.9616 1.314 1.0346 0 360 240 180 351.061 458.458 317.994 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"562" 82600028 0 2 0 4 0 1.0671 -0.5928 -0.7823 -0.6401 1.314 -1.6711 0 300 300 420 613.11 630.783 533.562 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"564" 82600028 1 3 2 6 0 -0.9823 0.0348 1.1928 0.4207 1.314 1.0346 1 240 240 480 646.362 529.888 543.21 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"565" 82600028 0 3 2 1 1 -0.6133 -0.4926 1.2327 -1.5191 -0.1697 -0.6576 2 300 360 240 350.054 318.216 320.128 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"567" 82600028 1 1 0 6 0 -0.687 0.0348 -0.7823 -0.964 1.314 1.0346 1 240 240 240 475.582 454.626 493.628 23 14.7368 0.1 0.43 -0.0384 -0.1695 "missing"
"568" 82600030 1 1 0 4 0 0.8207 -0.9351 2.4122 -0.7447 -0.4377 -0.6576 0 210 280 280 398.671 385.979 380.983 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"569" 82600030 1 1 0 3 0 -0.9823 -0.5878 -0.7823 -0.2549 1.314 1.0346 0 360 480 480 522.199 597.347 559.131 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"570" 82600030 0 2 2 1 0 -1.4242 -0.5635 -0.7823 -2.0066 -0.4377 -0.6576 1 360 480 480 527.617 525.952 429.766 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"571" 82600030 0 2 2 6 0 -0.0845 -0.5582 0.2907 0.0992 0.1694 -0.6576 2 320 320 320 462.376 446.164 424.636 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"572" 82600030 1 1 2 6 0 -0.2006 -0.5878 -0.7823 0.2421 0.6259 1.0346 2 240 320 320 665.061 674.071 673.558 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"574" 82600030 0 2 2 3 0 0.4637 -0.3184 1.1928 -1.461 -0.2023 -0.6576 2 105 140 140 486.544 529.017 538.149 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"576" 82600030 1 1 0 6 0 0.1097 0.472 -0.7823 0.9486 1.314 0.2169 1 360 480 480 556.384 581.473 511.206 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"577" 82600030 0 2 0 6 1 1.8905 -0.7564 -0.7823 -0.1453 1.314 1.0346 2 320 320 320 450.397 534.007 539.251 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
"578" 82600030 0 2 0 6 0 -0.4678 -0.3184 -0.7823 0.7376 -0.2023 -0.6576 0 360 360 360 568.903 509.418 510.347 28 13.4454 0.4997 0.9861 -0.0384 0.2266 "missing"
