"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"122" 4000005 0 1 0 6 0 1.8905 -1.398 3.8591 1.2323 -0.5864 -1.6735 110 110 275 541.697 480.465 507.45 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"123" 4000005 0 1 0 6 0 -0.2459 -2.4438 0.2907 0.7895 -2.1621 1.0346 100 150 300 568.442 531.032 557.367 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"124" 4000005 0 1 0 4 0 1.8905 0.0348 -0.7823 0.3108 0.7015 1.0346 100 150 200 584.083 600.77 495.563 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"125" 4000005 1 1 0 6 0 -0.4342 0.3241 -0.7823 1.0269 0.2048 1.0346 100 150 200 555.141 492.818 504.288 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"126" 4000005 0 1 0 3 1 0.052 0.2243 -0.7823 -0.0375 -0.8905 -0.6576 150 150 100 518.729 487.604 440.734 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"127" 4000005 1 3 3 5 0 -1.8939 2.7249 -0.7823 0.5461 1.314 0.6364 100 150 100 451.005 371.853 365.705 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"128" 4000005 0 1 0 4 0 -1.4869 0.9517 -0.7823 0.7676 -0.8998 0.2127 110 110 275 480.603 473.495 498.966 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"129" 4000005 0 2 3 3 0 -0.4342 0.6818 -0.7823 -0.4982 -1.4048 1.0346 110 165 275 456.348 515.629 468.757 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"130" 4000005 0 1 0 6 0 1.8905 2.7249 -0.7823 0.4775 -1.1846 1.0346 100 150 200 408.248 345.219 367.828 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"131" 4000005 0 1 0 5 0 -1.4869 0.6818 -0.7823 0.6389 -2.7106 1.0346 100 150 100 538.039 509.241 500.756 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"132" 4000005 0 1 0 3 0 -0.4342 2.7249 -0.7823 0.1761 -0.4883 1.0346 100 150 100 569.52 637.065 627.258 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"133" 4000005 0 1 0 5 0 0.052 0.9517 0.7703 0.2991 -2.0248 1.0346 100 150 200 490.448 415.149 450.635 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"134" 4000005 0 1 0 5 0 -0.1748 1.4903 -0.7823 0.163 -0.3971 1.0346 100 150 200 604.51 609.043 570.968 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
"135" 4000005 0 1 0 3 0 -0.687 2.7249 -0.7823 -0.1497 -1.5447 1.0346 100 150 100 585.061 585.649 517.908 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
